,variable,value
0,Crow_24hr,1.20583333333333
1,Crow_24hr,5.03818309859155
2,Crow_24hr,1.79782426778243
3,Crow_24hr,1.89124478442281
4,Crow_24hr,1.57403792134831
5,Crow_24hr,2.91481818181818
6,Crow_24hr,3.66046153846154
7,Crow_24hr,4.64686013986014
8,Crow_24hr,4.87653631284916
9,Crow_24hr,13.7618837535014
10,Crow_24hr,5.92382517482517
11,Crow_24hr,7.39129707112971
12,Crow_24hr,4.83312849162011
13,Crow_24hr,5.81305049088359
14,Crow_24hr,6.10446629213483
15,Crow_24hr,14.4688857545839
16,Crow_24hr,21.8524050632911
17,Crow_24hr,24.9277144866385
18,Crow_24hr,40.2044273743017
19,Crow_24hr,23.1484343434343
20,Crow_24hr,21.275480349345
21,Crow_24hr,23.8409449404762
22,Crow_24hr,29.1185724743777
23,Crow_24hr,27.8096506550218
24,Crow_24hr,26.5902727272727
25,Crow_24hr,22.9616043613707
26,Crow_24hr,45.1599465648855
27,Crow_24hr,56.4779705882353
28,Crow_24hr,46.6365056022409
29,Crow_24hr,33.6936938202247
30,Crow_24hr,29.3166101694915
31,Crow_24hr,39.1036180555556
32,Crow_24hr,51.1942468619247
33,Crow_24hr,50.3699857954545
34,Crow_24hr,26.6580492957746
35,Crow_24hr,3.52853846153846
36,Crow_24hr,7.71327949438202
37,Crow_24hr,17.5744072524407
38,Crow_24hr,21.9552598314607
39,Crow_24hr,25.3058019525802
40,Crow_24hr,22.3219214586255
41,Crow_24hr,25.6183661971831
42,Crow_24hr,22.8655167597765
43,Crow_24hr,37.2908774373259
44,Crow_24hr,24.6871518987342
45,Crow_24hr,24.5874125874126
46,Crow_24hr,21.1622346368715
47,Crow_24hr,19.4704691876751
48,Crow_24hr,14.7286194563662
49,Crow_24hr,20.1475189393939
50,Crow_24hr,34.0378279883382
51,Crow_24hr,34.2000884955752
52,Crow_24hr,24.3218871595331
53,Crow_24hr,15.5635112359551
54,Crow_24hr,11.658776
55,Crow_24hr,3.92047685834502
59,Hardin_24hr,0.0508673469387755
60,Hardin_24hr,0.024895251396648
61,Hardin_24hr,0.472965277777778
62,Hardin_24hr,1.87208100558659
63,Hardin_24hr,1.57569037656904
64,Hardin_24hr,2.09629213483146
65,Hardin_24hr,3.4747419804742
66,Hardin_24hr,6.94186369958275
67,Hardin_24hr,3.39385257301808
68,Hardin_24hr,3.94220138888889
69,Hardin_24hr,6.11776462395543
70,Hardin_24hr,4.4633125
71,Hardin_24hr,5.21096590909091
72,Hardin_24hr,12.143776077886
73,Hardin_24hr,19.8144645340751
74,Hardin_24hr,18.5813668061367
75,Hardin_24hr,18.3095334261838
76,Hardin_24hr,16.7094516594517
77,Hardin_24hr,22.3881976744186
78,Hardin_24hr,23.5475588697017
79,Hardin_24hr,17.3981489361702
80,Hardin_24hr,23.6543609550562
81,Hardin_24hr,24.7108470764618
82,Hardin_24hr,20.8779656160458
83,Hardin_24hr,39.1350663716814
84,Hardin_24hr,48.8235238784371
85,Hardin_24hr,41.8845147679325
86,Hardin_24hr,29.8322600834492
87,Hardin_24hr,24.2622198879552
88,Hardin_24hr,35.3810265363129
89,Hardin_24hr,39.4344359331476
90,Hardin_24hr,45.2227094972067
91,Hardin_24hr,22.6128910614525
92,Hardin_24hr,2.33426388888889
93,Hardin_24hr,6.65093006993007
94,Hardin_24hr,15.5118011126565
95,Hardin_24hr,18.8750976290098
96,Hardin_24hr,25.1684548335975
97,Hardin_24hr,19.1902359550562
98,Hardin_24hr,22.7463680555556
99,Hardin_24hr,26.2492618384401
100,Hardin_24hr,37.8501947148818
101,Hardin_24hr,18.5887134909597
102,Hardin_24hr,22.1498958333333
103,Hardin_24hr,20.0927955493741
104,Hardin_24hr,16.6905600814664
105,Hardin_24hr,12.6577806122449
106,Hardin_24hr,18.6322361111111
107,Hardin_24hr,27.0697705146036
108,Hardin_24hr,25.6407083333333
109,Hardin_24hr,22.2418194444444
110,Hardin_24hr,15.0794158553547
111,Hardin_24hr,11.4349236111111
112,Hardin_24hr,1.72639275766017
118,Pryor_24hr,3.4388
119,Pryor_24hr,3.00869985141159
120,Pryor_24hr,0.820641748942172
121,Pryor_24hr,2.08053445850914
122,Pryor_24hr,1.02929469273743
123,Pryor_24hr,0.413071030640669
124,Pryor_24hr,0.376842837273992
125,Pryor_24hr,1.44951117318436
126,Pryor_24hr,1.77884724186704
127,Pryor_24hr,1.98718398876405
128,Pryor_24hr,1.04409916201117
129,Pryor_24hr,2.83975317348378
130,Pryor_24hr,3.51664556962025
131,Pryor_24hr,3.38622036262204
132,Pryor_24hr,2.67380084151473
133,Pryor_24hr,3.90925279329609
134,Pryor_24hr,4.90023021582734
135,Pryor_24hr,20.751484375
136,Pryor_24hr,20.0505369595537
137,Pryor_24hr,18.3672835195531
138,Pryor_24hr,22.0587621696801
139,Pryor_24hr,24.5970911722142
140,Pryor_24hr,12.4165752461322
141,Pryor_24hr,10.4373882681564
142,Pryor_24hr,33.4004184100418
143,Pryor_24hr,28.0251464435146
144,Pryor_24hr,27.5352859135286
145,Pryor_24hr,16.3329944289694
146,Pryor_24hr,36.9814693593315
147,Pryor_24hr,47.4036554621849
148,Pryor_24hr,36.745090403338
149,Pryor_24hr,26.4119097222222
150,Pryor_24hr,24.644651810585
151,Pryor_24hr,43.5465577190542
152,Pryor_24hr,43.580926183844
153,Pryor_24hr,51.4453407510431
154,Pryor_24hr,52.7321997206704
155,Pryor_24hr,14.7724686192469
156,Pryor_24hr,2.6239916550765
157,Pryor_24hr,7.30060541310541
158,Pryor_24hr,19.2992638888889
159,Pryor_24hr,15.6780962343096
160,Pryor_24hr,15.836668984701
161,Pryor_24hr,14.8245479833102
162,Pryor_24hr,23.8041073919107
163,Pryor_24hr,17.3374965229485
164,Pryor_24hr,29.6545600558659
165,Pryor_24hr,25.4645549374131
166,Pryor_24hr,19.2565833333333
167,Pryor_24hr,22.7829763560501
168,Pryor_24hr,11.559768258427
169,Pryor_24hr,7.8649651810585
170,Pryor_24hr,15.8348958333333
171,Pryor_24hr,11.4230389429764
172,Pryor_24hr,10.1069791666667
173,Pryor_24hr,19.1564236111111
174,Pryor_24hr,19.9004311543811
175,Pryor_24hr,6.35072916666667
176,Pryor_24hr,1.56764914772727
177,Wyola_24hr,0.845161290322581
178,Wyola_24hr,3.46161764705882
179,Wyola_24hr,1.14658227848101
180,Wyola_24hr,0.0866405135520685
181,Wyola_24hr,0.581760450160772
182,Wyola_24hr,1.53851428571429
183,Wyola_24hr,1.36270194986072
184,Wyola_24hr,2.13409663865546
185,Wyola_24hr,0.974537166900421
186,Wyola_24hr,2.91426863572433
187,Wyola_24hr,3.07936886395512
188,Wyola_24hr,3.58902250351617
189,Wyola_24hr,3.53386524822695
190,Wyola_24hr,4.59693055555556
191,Wyola_24hr,6.18860252808989
192,Wyola_24hr,13.3629090909091
193,Wyola_24hr,18.6423417721519
194,Wyola_24hr,18.8906882022472
195,Wyola_24hr,24.0229275362319
196,Wyola_24hr,14.3931222056632
197,Wyola_24hr,13.3908639143731
198,Wyola_24hr,41.823236677116
199,Wyola_24hr,46.0405555555556
200,Wyola_24hr,23.2610167130919
201,Wyola_24hr,20.1578969359331
202,Wyola_24hr,39.7423430962343
203,Wyola_24hr,49.5753755215577
204,Wyola_24hr,39.6014559659091
205,Wyola_24hr,27.1651955307263
206,Wyola_24hr,23.9551183844011
207,Wyola_24hr,32.0763617318436
208,Wyola_24hr,40.1026671309192
209,Wyola_24hr,43.8041081460674
210,Wyola_24hr,22.1340896358543
211,Wyola_24hr,2.91163407821229
212,Wyola_24hr,6.35182014388489
213,Wyola_24hr,15.9518454038997
214,Wyola_24hr,17.3932914923291
215,Wyola_24hr,17.4534669479606
216,Wyola_24hr,15.5015708274895
217,Wyola_24hr,18.6915664335664
218,Wyola_24hr,20.8661974789916
219,Wyola_24hr,29.923847241867
220,Wyola_24hr,25.061750348675
221,Wyola_24hr,21.8692479108635
222,Wyola_24hr,19.2576090014065
223,Wyola_24hr,16.2627777777778
224,Wyola_24hr,8.96954480796586
225,Wyola_24hr,16.8707621082621
226,Wyola_24hr,25.7677980364656
227,Wyola_24hr,18.0436643356643
228,Wyola_24hr,18.6024582172702
229,Wyola_24hr,9.73369230769231
230,Wyola_24hr,5.99543417366947
231,Wyola_24hr,1.76547994269341
