"","time","humidity","temperature","pressure","voc","pm1.0_atm","pm2.5_atm","pm10.0_atm"
"1",2024-06-28,22.8418367346939,81.2397959183673,909.443214285714,NA,0.0086734693877551,0.0508673469387755,0.630178571428571
"2",2024-06-29,42.1536312849162,70.2304469273743,919.479790502793,15.1256843575419,0.0127653631284916,0.024895251396648,0.0823812849162011
"3",2024-06-30,37.9027777777778,78.5027777777778,913.804652777778,13.7792916666667,0.287006944444444,0.472965277777778,0.7239375
"4",2024-07-01,45.0740223463687,75.3854748603352,910.872094972067,12.730530726257,1.48166899441341,1.87208100558659,2.22377094972067
"5",2024-07-02,35.5718270571827,76.9637377963738,911.548186889819,70.2576150627615,1.11068340306834,1.57569037656904,1.83069037656904
"6",2024-07-03,52.2176966292135,67.6699438202247,914.140140449438,66.7736095505618,1.49785814606742,2.09629213483146,2.4277808988764
"7",2024-07-04,49.8591352859135,69.9205020920502,919.197085076709,68.5819665271967,2.53403068340307,3.4747419804742,3.8294630404463
"8",2024-07-05,41.3852573018081,73.6258692628651,919.237176634214,118.447719054242,4.9230876216968,6.94186369958275,7.89373435326843
"9",2024-07-06,50.4005563282337,70.0904033379694,915.089527121001,63.1609179415855,2.61043810848401,3.39385257301808,3.73636300417246
"10",2024-07-07,43.1458333333333,74.9402777777778,916.927277777778,82.9312222222222,3.08552083333333,3.94220138888889,4.22384027777778
"11",2024-07-08,35.4902506963788,80.3593314763231,915.287451253482,103.707311977716,4.57321727019499,6.11776462395543,6.78224930362117
"12",2024-07-09,32.1527777777778,86.3055555555556,914.716694444444,86.5836527777778,3.59131944444444,4.4633125,5.1508125
"13",2024-07-10,28.7926136363636,89.1761363636364,914.204659090909,NA,4.391953125,5.21096590909091,5.67934659090909
"14",2024-07-11,25.739916550765,94.6328233657858,911.314965229485,91.2355632823366,10.6647844228095,12.143776077886,12.6579554937413
"15",2024-07-12,21.8150208623088,98.7051460361613,911.612795549374,93.0422948539638,16.4150208623088,19.8144645340751,20.7703824756606
"16",2024-07-13,25.6555090655509,93.6708507670851,914.045620641562,85.9036262203626,15.0249442119944,18.5813668061367,20.6279079497908
"17",2024-07-14,31.2116991643454,91.424791086351,912.530125348189,81.5702924791086,14.247291086351,18.3095334261838,19.875647632312
"18",2024-07-15,28.8513708513709,90.5180375180375,912.710591630592,71.8828138528139,13.4999134199134,16.7094516594517,17.9886940836941
"19",2024-07-16,33.2302325581395,81.5023255813954,911.798488372093,69.4970465116279,17.5792790697674,22.3881976744186,23.9395348837209
"20",2024-07-17,28.2637362637363,90.8131868131868,917.451114599686,88.5986970172684,18.2986734693878,23.5475588697017,25.9407064364207
"21",2024-07-18,26.8439716312057,93.7489361702128,915.645687943262,NA,13.3484680851064,17.3981489361702,19.3534255319149
"22",2024-07-19,28.5575842696629,93.8792134831461,915.979199438202,81.0514325842697,18.5320365168539,23.6543609550562,25.2752949438202
"23",2024-07-20,29.1979010494753,92.2503748125937,918.676566716642,NA,18.8203073463268,24.7108470764618,26.8089580209895
"24",2024-07-21,24.2922636103152,98.2292263610315,920.188223495702,101.309971346705,16.1884670487106,20.8779656160458,22.2073638968481
"25",2024-07-22,27.7330383480826,92.3643067846608,917.029085545723,NA,27.2142477876106,39.1350663716814,47.754314159292
"26",2024-07-23,26.7698986975398,93.1678726483357,913.663212735166,97.5671635311143,32.0436396526773,48.8235238784371,62.0636324167873
"27",2024-07-24,21.8888888888889,97.0534458509142,914.096680731364,103.926146272855,28.2062517580872,41.8845147679325,52.0288959212377
"28",2024-07-25,20.7315716272601,95.9499304589708,911.845146036161,86.0229902642559,21.2239082058414,29.8322600834492,35.6527260083449
"29",2024-07-26,22.2478991596639,90.233893557423,911.19350140056,76.9580392156863,17.9370868347339,24.2622198879552,27.3607352941176
"30",2024-07-27,30.7164804469274,86.5754189944134,907.426899441341,80.8226396648045,25.0194553072626,35.3810265363129,42.0356354748603
"31",2024-07-28,24.4777158774373,87.4261838440111,907.512520891365,79.1888579387187,27.2889693593315,39.4344359331476,47.6283008356546
"32",2024-07-29,30.6061452513966,85.1131284916201,909.280516759777,76.6541201117318,31.0574860335196,45.2227094972067,54.9716410614525
"33",2024-07-30,25.0348675034868,87.2050209205021,907.443207810321,68.5557043235704,35.8803626220363,55.0942119944212,64.3566248256625
"34",2024-07-31,30.8016759776536,87.5712290502793,913.70719273743,68.7946508379888,15.2648812849162,22.6128910614525,27.5223533519553
"35",2024-08-01,24.3555555555556,91.0180555555555,916.941291666667,83.2546805555556,1.64727083333333,2.33426388888889,3.52993055555556
"36",2024-08-02,22.6839160839161,94.6573426573427,917.616881118881,98.9131328671329,5.29158741258741,6.65093006993007,8.36736363636364
"37",2024-08-03,21.336578581363,95.2726008344924,916.552545201669,80.5831154381085,12.3629485396384,15.5118011126565,17.3533101529903
"38",2024-08-04,20.3458856345886,97.3626220362622,910.45179916318,74.5972524407252,14.4392259414226,18.8750976290098,20.6591631799163
"39",2024-08-05,46.4754358161648,85.2963549920761,916.103438985737,67.3966402535658,18.8749920760697,25.1684548335975,27.915499207607
"40",2024-08-06,29.6224719101124,97.7033707865169,914.79595505618,81.2433707865168,15.3467303370787,19.1902359550562,20.9113483146067
"41",2024-08-07,56.4833333333333,74.1541666666667,918.529694444444,69.4612638888889,16.1041041666667,22.7463680555556,25.6458472222222
"42",2024-08-08,43.5027855153203,74.7200557103064,922.775111420613,66.1159470752089,17.8094568245125,26.2492618384401,31.3114136490251
"43",2024-08-09,37.7677329624478,76.8052851182197,921.338331015299,80.4161474269819,25.3520097357441,37.8501947148818,45.3597218358832
"44",2024-08-10,30.8720445062587,79.653685674548,917.257107093185,115.842433936022,13.6204242002782,18.5887134909597,20.1695062586926
"45",2024-08-11,43.1722222222222,82.3166666666667,914.638402777778,108.046277777778,16.2587777777778,22.1498958333333,23.6451319444444
"46",2024-08-12,38.0319888734353,85.346314325452,913.648789986092,112.798066759388,15.1367802503477,20.0927955493741,21.2128372739917
"47",2024-08-13,51.8105906313646,73.2219959266803,911.345376782077,89.2388798370672,11.9353258655804,16.6905600814664,17.9664562118126
"48",2024-08-14,34.4132653061224,86.0731292517007,912.085731292517,122.107057823129,9.69239795918367,12.6577806122449,13.4972108843537
"49",2024-08-15,31.7652777777778,85.1208333333333,915.329222222222,73.7315416666667,13.9912430555556,18.6322361111111,19.9578888888889
"50",2024-08-16,27.7329624478442,89.0653685674548,913.553671766342,87.3242420027816,18.5497983310153,27.0697705146036,31.563073713491
"51",2024-08-17,33.3833333333333,86.5597222222222,913.827138888889,73.7154305555556,17.0124722222222,25.6407083333333,30.2357777777778
"52",2024-08-18,30.9013888888889,92.4027777777778,912.370527777778,76.0403611111111,16.0423819444444,22.2418194444444,24.2930416666667
"53",2024-08-19,34.5201668984701,93.9874826147427,913.535521557719,78.8037134909597,11.5209318497914,15.0794158553547,16.2269958275382
"54",2024-08-20,35.6819444444444,91.4291666666667,913.676513888889,86.620625,8.6331875,11.4349236111111,12.5126666666667
"55",2024-08-21,32.133704735376,85.857938718663,910.594025069638,111.551880222841,1.21539693593315,1.72639275766017,2.41057103064067
